OwnerID,Name,Surname,StreetAddress,City,State,StateFull,ZipCode
1070,Jessica,Velazquez,3861 Woodbridge Lane,Southfield,MI,Michigan,48034
1132,Rosa,Quarles,4791 Tennessee Avenue,Southfield,MI,Michigan,48034
1202,Susan,Jackson,3677 Daylene Drive,Livonia,MI,Michigan,48154
1306,Benjamin,Spears,1507 Twin Oaks Drive,Clam River,MI,Michigan,49612
1312,Charles,Chidester,4086 Cottonwood Lane,Dutton,MI,Michigan,49316
1319,Joe,Custer,2765 Wildrose Lane,Westland,MI,Michigan,48185
1334,Jason,Cantwell,2372 Don Jackson Lane,Southfield,MI,Michigan,48075
1546,Joseph,Blow,556 D Street,Southfield,MI,Michigan,48075
1653,Carolyn,Crane,3952 Jarvisville Road,Lansing,MI,Michigan,48933
1766,Doris,Ray,1700 Mahlon Street,Farmington Hills,MI,Michigan,48335
1899,Jeffrey,Moore,2420 Echo Lane,Middleville,MI,Michigan,49333
1915,Christopher,Bowers,3575 Woodbridge Lane,Detroit,MI,Michigan,48226
2063,William,Vasquez,3806 Perry Street,Pontiac,MI,Michigan,48342
2103,Robert,Adkins,2102 Perry Street,Flint,MI,Michigan,48548
2419,Luisa,Cuellar,1308 Shingleton Road,Kalamazoo,MI,Michigan,49007
2700,Wm,Poulson,3959 Summit Park Avenue,Southfield,MI,Michigan,48075
2722,John,Jordan,1799 Elk Avenue,Michigan Center,MI,Michigan,49254
2755,Anne,Hudson,4110 Howard Street,Grand Rapids,MI,Michigan,49503
2809,Bruce,Dunne,4119 Kimberly Way,Grand Rapids,MI,Michigan,49503
2863,John,Sebastian,3221 Perry Street,Davison,MI,Michigan,48423
2967,Travis,Bowman,3265 Front Street,Southfield,MI,Michigan,48075
3034,Paul,Haring,2612 Tennessee Avenue,Southfield,MI,Michigan,48034
3086,Ed,Enriquez,3413 Reppert Coal Road,Warren,MI,Michigan,48093
3089,Lee,McKenzie,3295 Pinewood Avenue,Marquette,MI,Michigan,49855
3245,Susan,Luna,859 Corpening Drive,Commerce,MI,Michigan,48085
3518,Connie,Pauley,1539 Cunningham Court,Bloomfield Township,MI,Michigan,48302
3615,Marion,Glover,2311 Cherry Ridge Drive,Southfield,MI,Michigan,48075
3644,Dorothy,Whitworth,1348 Ripple Street,Saginaw,MI,Michigan,48607
3661,Bruce,Hart,2497 Nash Street,Southfield,MI,Michigan,48075
3663,Lena,Haliburton,4217 Twin Oaks Drive,Traverse City,MI,Michigan,49684
3691,Richard,Duke,78 Amethyst Drive,Lansing,MI,Michigan,48911
4110,Gregory,Aucoin,4849 Elk Avenue,Lansing,MI,Michigan,48933
4185,Andrew,Salazar,1968 Veltri Drive,Marquette,MI,Michigan,49855
4378,George,McDonald,4715 Wood Duck Drive,Marquette,MI,Michigan,49855
4408,Sabrina,Britton,1232 Owen Lane,Fremont,MI,Michigan,49412
4464,Daniel,Nielson,4876 Tully Street,Detroit,MI,Michigan,48219
4793,Thomas,Arnold,1028 Haven Lane,Lansing,MI,Michigan,48933
4989,Sarah,Canada,3216 Reppert Coal Road,Bloomfield Township,MI,Michigan,48302
5168,Robert,Foster,4680 Rubaiyat Road,Grand Rapids,MI,Michigan,49503
5207,Susan,Corrigan,2569 Prudence Street,Detroit,MI,Michigan,48221
5215,Larry,Hunt,3384 West Street,Grand Rapids,MI,Michigan,49503
5447,Arthur,Reed,2651 Haven Lane,Lansing,MI,Michigan,48933
5502,Raul,North,4838 Corpening Drive,Farmington,MI,Michigan,48336
5508,Charles,Swarey,2463 Charles Street,Flint,MI,Michigan,48548
5737,Alden,McMiller,3111 Tennessee Avenue,Pontiac,MI,Michigan,48342
5796,Denise,Haire,3192 Woodbridge Lane,Detroit,MI,Michigan,48219
5806,Jerry,Reyna,1073 Rubaiyat Road,Grand Rapids,MI,Michigan,49503
5833,Mary,Hurtado,4865 Juniper Drive,Saint Charles,MI,Michigan,48655
6049,Debbie,Metivier,315 Goff Avenue,Grand Rapids,MI,Michigan,49503
6102,Robert,Partridge,704 Railroad Street,Marquette,MI,Michigan,49855
6157,Dan,Hysell,3231 Hayhurst Lane,Plymouth,MI,Michigan,48170
6194,Karen,Torres,3941 Ritter Avenue,Center Line,MI,Michigan,48015
6405,Lawrence,Roder,1386 Hayhurst Lane,Southfield,MI,Michigan,48034
6406,Catherine,Hundley,1381 Wildrose Lane,Highland Park,MI,Michigan,48203
6731,Thomas,Boatwright,3149 Ripple Street,Saginaw,MI,Michigan,48607
6923,Hassan,Stevens,3363 Shingleton Road,Bridgman,MI,Michigan,49106
7023,Gertrude,Harris,736 Daylene Drive,Bloomfield Township,MI,Michigan,48302
7085,Gene,Kern,4265 Pinewood Avenue,Bruce Crossing,MI,Michigan,49912
7101,Bessie,Yen,30 Cunningham Court,Rochester Hills,MI,Michigan,48306
7219,John,White,4723 West Street,Hudsonville,MI,Michigan,49426
7261,Tony,Long,536 Bombardier Way,Ann Arbor,MI,Michigan,48104
7340,Debra,Robins,3437 Summit Park Avenue,Southfield,MI,Michigan,48075
7343,Bobbie,Junior,3930 Eagle Drive,Detroit,MI,Michigan,48219
7359,Deborah,Bray,2859 Robinson Court,Caro,MI,Michigan,48723
7393,Tom,Topper,3518 Haven Lane,Grand Ledge,MI,Michigan,48837
7484,Mario,Riddle,17 Rubaiyat Road,Fruitport,MI,Michigan,49415
7579,Ricardo,Peterson,4963 Mahlon Street,Ann Arbor,MI,Michigan,48104
7581,Florence,Nolen,3103 Howard Street,Grand Rapids,MI,Michigan,49503
7606,Edna,Moreno,2548 Wetzel Lane,Grand Rapids,MI,Michigan,49503
7663,Julia,Gowan,1342 Ben Street,Lansing,MI,Michigan,48933
7772,Gustavo,Jobe,249 Amethyst Drive,Bloomfield Township,MI,Michigan,48302
7846,Elvia,Warren,2041 Eagle Drive,Southfield,MI,Michigan,48075
7908,Paula,Browning,4915 Prudence Street,Lincoln Park,MI,Michigan,48146
8133,Stacey,Randolph,1145 D Street,Southfield,MI,Michigan,48075
8143,Jackie,Hatmaker,949 John Avenue,East Lansing,MI,Michigan,48823
8215,Max,Smith,1054 Hayhurst Lane,Pontiac,MI,Michigan,48342
8316,Daniel,Fay,894 Twin Oaks Drive,Grand Rapids,MI,Michigan,49503
8619,Robert,Williams,2628 Ben Street,East Lansing,MI,Michigan,48823
